[27, 8] [0, 2, 0, 3, 2, 3] 10.0 1.9
[26, 25] [0, 0, 0, 1, 0, 1] 10.0 1.9
[0, 17] [1, 1, 0, 1, 0, 1] 10.0 1.9
[1, 12] [1, 0, 1, 0, 1, 0] 53.0 1.1975
[12, 20] [0, 2, 1, 0, 1, 0] 10.0 1.9
[1, 12] [1, 0, 1, 0, 1, 0] 53.0 1.1975
[14, 0] [3, 2, 0, 1, 0, 1] 44.0 1.18305
[5, 20] [1, 0, 2, 1, 0, 1] 10.0 1.9
[15, 17] [0, 1, 2, 0, 2, 1] 10.0 1.9
[8, 27] [2, 1, 0, 1, 0, 1] 10.0 1.9
[13, 1] [3, 2, 3, 2, 3, 2] 50.0 1.19965
[10, 21] [0, 1, 0, 1, 0, 1] 10.0 1.45
[6, 14] [2, 2, 1, 3, 0, 2] 10.0 1.9
[16, 7] [2, 3, 0, 0, 2, 1] 10.0 1.9
[7, 13] [1, 2, 0, 3, 2, 3] 54.0 1.20848
[3, 20] [2, 2, 1, 3, 2, 3] 10.0 1.9
[11, 6] [3, 2, 3, 2, 3, 2] 45.0 1.19516
[25, 0] [3, 2, 3, 2, 3, 2] 10.0 1.9
[15, 12] [0, 0, 1, 0, 1, 0] 10.0 1.9
[3, 12] [2, 1, 1, 3, 0, 1] 10.0 1.9
[2, 10] [3, 2, 1, 0, 1, 0] 54.0 1.22102
[13, 16] [0, 1, 2, 0, 3, 1] 45.0 1.22547
[8, 24] [2, 1, 0, 1, 0, 1] 10.0 1.9
[13, 16] [0, 1, 0, 1, 0, 1] 48.0 1.23117
[19, 2] [0, 3, 3, 2, 3, 2] 10.0 1.9
[16, 6] [3, 2, 0, 0, 1, 0] 10.0 1.9
[8, 5] [1, 3, 0, 0, 1, 0] 10.0 1.9
[18, 18] [2, 3, 0, 0, 2, 3] 10.0 1.9
[8, 0] [1, 3, 0, 2, 3, 2] 49.0 1.23391
[15, 11] [0, 1, 2, 0, 1, 0] 10.0 1.9
[5, 16] [2, 3, 1, 2, 3, 2] 10.0 1.9
[5, 7] [3, 2, 2, 3, 2, 3] 35.0 1.16527
[23, 22] [2, 2, 3, 2, 3, 2] 10.0 1.9
[23, 24] [2, 2, 0, 0, 0, 3] 10.0 1.9
[19, 10] [0, 0, 1, 0, 1, 0] 10.0 1.9
[16, 19] [0, 1, 0, 1, 0, 1] 37.0 1.21219
[2, 21] [1, 0, 1, 0, 1, 0] 10.0 1.3
[15, 0] [3, 0, 2, 1, 3, 0] 10.0 1.9
[10, 3] [3, 3, 2, 3, 2, 3] 10.0 1.9
[1, 9] [3, 2, 3, 2, 3, 2] 27.0 1.30059
[15, 21] [2, 2, 0, 2, 3, 2] 10.0 1.9
[17, 7] [3, 0, 2, 1, 3, 0] 10.0 1.9
[20, 0] [3, 0, 0, 2, 1, 0] 10.0 1.9
[1, 13] [1, 2, 3, 2, 3, 2] 10.0 1.9
